,ts_code,name,enname,list_status,list_date,delist_date
182,000609.SZ,中迪投资,"Beijing Zodi Investment Co., Ltd.",L,19961010,
183,000610.SZ,西安旅游,"Xi'An Tourism Co.,Ltd.",L,19960926,
184,000611.SZ,*ST天首,"Inner Mongolia TianShou Technology&development, Co., Ltd.",L,19961008,
185,000612.SZ,焦作万方,"Jiaozuo Wanfang Aluminum Manufacturing Co.,Ltd.",L,19960926,
186,000613.SZ,大东海A,"Hainan Dadonghai Tourism Centre (Holdings) Co.,Ltd",L,19970128,
187,000615.SZ,京汉股份,"Kinghand Industrial Investment Group Co.,Ltd.",L,19961016,
188,000616.SZ,海航投资,"HNA Investment Group Co.,Ltd.",L,19961108,
189,000617.SZ,中油资本,Cnpc Capital Company Limited,L,19961022,
190,000619.SZ,海螺型材,"Wuhu Conch Profiles and Science Co., Ltd",L,19961023,
191,000620.SZ,新华联,"MACROLINK CULTURALTAINMENT DEVELOPMENT CO., LTD.",L,19961029,
192,000622.SZ,恒立实业,"Hengli Industrial Development Group Co., Ltd.",L,19961107,
193,000623.SZ,吉林敖东,"Jilin Aodong Pharmaceutical Group Co., Ltd.",L,19961028,
194,000625.SZ,长安汽车,Chongqing Changan Automobile Company Limited,L,19970610,
195,000626.SZ,远大控股,"Grand Industrial Holding Co., Ltd",L,19961128,
196,000627.SZ,天茂集团,"Hubei Biocause Pharmaceutical Co.,Ltd.",L,19961112,
197,000628.SZ,高新发展,"Chengdu Hi-Tech Development Co., Ltd.",L,19961118,
198,000629.SZ,攀钢钒钛,"Pangang Group Vanadium Titanium & Resources Co., Ltd.",L,19961115,
199,000630.SZ,铜陵有色,"Tongling Nonferrous Metals Group Co.,Ltd",L,19961120,
200,000631.SZ,顺发恒业,Shunfa Hengye Corporation.,L,19961122,
201,000632.SZ,三木集团,"Fujian Sanmu Group Co.,Ltd.",L,19961121,
202,000633.SZ,合金投资,"XINJIANG HEJIN HOLDING CO.,LTD",L,19961112,
203,000635.SZ,英力特,"Ningxia Younglight Chemicals Co.,Ltd",L,19961120,
204,000636.SZ,风华高科,"Guangdong Fenghua Advanced Technology(Holding) Co.,Ltd",L,19961129,
205,000637.SZ,茂化实华,"Maoming Petro-Chemical Shihua Co., Ltd.",L,19961114,
206,000638.SZ,万方发展,"Vanfund Urban Investment&Development Co.,Ltd.",L,19961126,
207,000639.SZ,西王食品,"Xiwang Foodstuffs Co., Ltd.",L,19961126,
208,000650.SZ,仁和药业,"Renhe Pharmacy Co.,Ltd",L,19961210,
209,000651.SZ,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",L,19961118,
210,000652.SZ,泰达股份,"Tianjin TEDA Co., Ltd.",L,19961128,
211,000655.SZ,金岭矿业,"Shandong Jinling Mining Co., Ltd.",L,19961128,
212,000656.SZ,金科股份,"Jinke Property Group Co.,Ltd.",L,19961128,
213,000657.SZ,中钨高新,"China Tungsten and Hightech Materials Co.,Ltd.",L,19961205,
214,000659.SZ,珠海中富,"Zhuhai Zhongfu Enterprise Co.,Ltd",L,19961203,
215,000661.SZ,长春高新,Changchun High & New Technology Industires Inc.,L,19961218,
216,000662.SZ,*ST天夏,Teamax Smart City Technology Corporation Limited,L,19961216,
217,000663.SZ,*ST永林,"Fujian Yongan Forestry(Group) Joint-Stock Co.,Ltd.",L,19961206,
218,000665.SZ,湖北广电,"Hubei Radio & Television Information Network Co., Ltd.",L,19961210,
219,000666.SZ,经纬纺机,Jingwei Textile Machinery Company Limited,L,19961210,
220,000667.SZ,美好置业,"Myhome Real Estate Development Group Co.,Ltd.",L,19961205,
221,000668.SZ,荣丰控股,"Rongfeng Holding Group Co.,Ltd.",L,19961210,
222,000669.SZ,*ST金鸿,"Jinhong Holding Group Co., Ltd.",L,19961210,
223,000670.SZ,*ST盈方,"Infotmic Co.,Ltd.",L,19961217,
224,000671.SZ,阳光城,"Yango Group Co.,Ltd",L,19961218,
225,000672.SZ,上峰水泥,"Gansu Shangfeng Cement Co., Ltd",L,19961218,
226,000673.SZ,*ST当代,"Lead Eastern Investment Co., Ltd",L,19970124,
227,000676.SZ,智度股份,"Genimous Technology CO.,LTD",L,19961224,
228,000677.SZ,恒天海龙,"Chtc Helon Co., Ltd.",L,19961226,
229,000678.SZ,襄阳轴承,"XIANGYANG AUTOMOBILE BEARING COMPANY., LTD",L,19970106,
230,000679.SZ,*ST友谊,"Dalian Friendship (Group) Co.,Ltd.",L,19970124,
231,000680.SZ,山推股份,"Shantui Construction Machinery Co.,Ltd.",L,19970122,
232,000681.SZ,视觉中国,"Visual China Group Co., Ltd.",L,19970121,
233,000682.SZ,东方电子,"Dongfang Electronics Co.,Ltd",L,19970121,
234,000683.SZ,远兴能源,Inner Mongolia Yuan Xing Energy Company Limited,L,19970131,
235,000685.SZ,中山公用,"Zhongshan Public Utilities Group Co.,Ltd.",L,19970123,
236,000686.SZ,东北证券,"Northeast Securities Co.,Ltd.",L,19970227,
237,000687.SZ,*ST华讯,"Huaxun Fangzhou Co., Ltd",L,19970221,
238,000688.SZ,国城矿业,"Guocheng Mining Co.,Ltd",L,19970120,
239,000690.SZ,宝新能源,"Guangdong Baolihua New Energy Stock Co.,Ltd.",L,19970128,
240,000691.SZ,亚太实业,"Hainan Yatai Industrial Development Co.,Ltd.",L,19970228,
241,000692.SZ,惠天热电,"Shenyang Huitian Thermal Power Co.,Ltd",L,19970227,
242,000695.SZ,滨海能源,"Tianjin Binhai Energy & Development Co.,Ltd",L,19970218,
243,000697.SZ,炼石航空,"Ligeance Aerospace Technology Co.,Ltd.",L,19970325,
244,000698.SZ,沈阳化工,"Shenyang Chemical Industry Co.,Ltd",L,19970220,
245,000700.SZ,模塑科技,"Jiangnan Mould & Plastic Technology Co., Ltd.",L,19970228,
246,000701.SZ,厦门信达,Xiamen Xindeco Ltd.,L,19970226,
247,000702.SZ,正虹科技,"Hunan Zhenghong Science and Technology Develop Co.,Ltd.",L,19970318,
248,000703.SZ,恒逸石化,"Hengyi Petrochemical Co., Ltd",L,19970328,
249,000705.SZ,浙江震元,"Zhejiang Zhenyuan Share Co., Ltd",L,19970410,
250,000707.SZ,ST双环,"Hubei Shuanghuan Science and Technology Stock Co., Ltd.",L,19970415,
251,000708.SZ,中信特钢,"Citic Pacific Special Steel Group Co., Ltd",L,19970326,
252,000709.SZ,河钢股份,HBIS Company Limited,L,19970416,
253,000710.SZ,贝瑞基因,"Berry Genomics Co., Ltd",L,19970422,
254,000711.SZ,京蓝科技,"Kingland Technology Co.,Ltd.",L,19970411,
255,000712.SZ,锦龙股份,Guangdong Golden Dragon Development Inc.,L,19970415,
256,000713.SZ,丰乐种业,"Hefei Fengle Seed Co.,Ltd.",L,19970422,
257,000715.SZ,中兴商业,"Zhongxing Shenyang Commercial Building  Group Co., Ltd",L,19970508,
258,000716.SZ,黑芝麻,"Nanfang Black Sesame Group Co.,Ltd.",L,19970418,
259,000717.SZ,韶钢松山,"SGIS Songshan Co.,Ltd.",L,19970508,
260,000718.SZ,苏宁环球,"Suning Universal Co.,Ltd",L,19970408,
261,000719.SZ,中原传媒,"Central China Land Media Co.,Ltd",L,19970331,
262,000720.SZ,新能泰山,"Shandong Xinneng Taishan Power Generation Co.,Ltd.",L,19970509,
263,000721.SZ,西安饮食,"Xi'An Catering Co.,Ltd.",L,19970430,
264,000722.SZ,湖南发展,"Hunan Development Group Co.,Ltd",L,19970522,
265,000723.SZ,美锦能源,"Shanxi Meijin Energy Co.,Ltd.",L,19970515,
266,000725.SZ,京东方A,"BOE Technology Group Co.,Ltd.",L,20010112,
267,000726.SZ,鲁泰A,"Lu Thai Textile Co.,Ltd",L,20001225,
268,000727.SZ,*ST东科,"Nanjing Huadong Electronics Information & Technology Co.,Ltd",L,19970520,
269,000728.SZ,国元证券,Guoyuan Securities Company Limited,L,19970616,
270,000729.SZ,燕京啤酒,"Beijing Yanjing Brewery Co.,Ltd.",L,19970716,
271,000731.SZ,四川美丰,"Sichuan Meifeng Chemical Industry Co., Ltd.",L,19970617,
272,000732.SZ,泰禾集团,"Tahoe Group Co., Ltd",L,19970704,
273,000733.SZ,振华科技,"China Zhenhua(Group) Science & Technology Co.,Ltd",L,19970703,
274,000735.SZ,罗牛山,"Luoniushan Co., Ltd.",L,19970611,
275,000736.SZ,中交地产,CCCG Real Estate Corporation Limited,L,19970425,
276,000737.SZ,ST南风,"Nafine Chemical Industry Group Co.,Ltd",L,19970428,
277,000738.SZ,航发控制,"Aecc Aero-Engine Control Co.,Ltd.",L,19970626,
278,000739.SZ,普洛药业,"Apeloa Pharmaceutical Co.,Ltd",L,19970509,
279,000750.SZ,国海证券,"Sealand Securities Co., Ltd.",L,19970709,
280,000751.SZ,锌业股份,"Huludao Zinc Industry Co.,Ltd.",L,19970626,
281,000752.SZ,*ST西发,"Tibet Galaxy Science & Technology Development Co.,Ltd.",L,19970625,
282,000753.SZ,漳州发展,"Fujian Zhangzhou Development Co.,Ltd",L,19970626,
283,000755.SZ,山西路桥,"Shanxi Road & Bridge Co.,Ltd",L,19970627,
284,000756.SZ,新华制药,Shandong Xinhua Pharmaceutical Company Limited,L,19970806,
285,000757.SZ,浩物股份,"Sichuan Haowu Electromechanical Co.,Ltd.",L,19970627,
286,000758.SZ,中色股份,"China Nonferrous Metal Industry's Foreign Engineering and Construction Co.,Ltd.",L,19970416,
287,000759.SZ,中百集团,"Zhongbai Holdings Group Co.,Ltd.",L,19970519,
288,000760.SZ,*ST斯太,Steyr Motors Corp.,L,19970627,
289,000761.SZ,本钢板材,"Bengang Steel Plates Co.,Ltd",L,19980115,
290,000762.SZ,西藏矿业,"Tibet Mineral Development Co.,Ltd",L,19970708,
291,000766.SZ,通化金马,"Tonghua Golden-Horse Pharmaceutical Industry Co.,Ltd",L,19970430,
292,000767.SZ,漳泽电力,"Shanxi Zhangze Electric Power Co., Ltd",L,19970609,
293,000768.SZ,中航飞机,"Avic Aircraft Co.,Ltd.",L,19970626,
294,000776.SZ,广发证券,"GF Securities Co.,Ltd.",L,19970611,
295,000777.SZ,中核科技,"SUFA Technology Industry Co., Ltd. CNNC",L,19970710,
296,000778.SZ,新兴铸管,"Xinxing Ductile Iron Pipes Co.,Ltd.",L,19970606,
297,000779.SZ,甘咨询,"Gansu Engineering Consulting Group Co., Ltd.",L,19970528,
298,000780.SZ,*ST平能,"Inner Mongolia Pingzhuang Energy Resources Co.,Ltd",L,19970606,
299,000782.SZ,美达股份,"Guangdong Xinhui Meida Nylon Co.,Ltd.",L,19970619,
300,000783.SZ,长江证券,Changjiang Securities Company Limited,L,19970731,
301,000785.SZ,居然之家,"EASYHOME NEW RETAIL GROUP CO., LTD",L,19970711,
302,000786.SZ,北新建材,Beijing New Building Materials Public Limited Company,L,19970606,
303,000788.SZ,北大医药,"PKU HealthCare Corp., Ltd.",L,19970616,
304,000789.SZ,万年青,"Jiangxi Wannianqing Cement Co.,Ltd.",L,19970923,
305,000790.SZ,华神科技,"Chengdu huasun technology group Inc., LTD.",L,19980327,
306,000791.SZ,甘肃电投,"GEPIC Energy Development Co., Ltd.",L,19971014,
307,000792.SZ,*ST盐湖,"Qinghai Salt Lake Industry Co.,Ltd.",L,19970904,
308,000793.SZ,华闻集团,Huawen Media Group,L,19970729,
309,000795.SZ,英洛华,"Innuovo Technology Co. ,Ltd.",L,19970808,
310,000796.SZ,凯撒旅业,"Caissa Tosun Development CO.,LTD.",L,19970703,
311,000797.SZ,中国武夷,"China Wuyi Co.,Ltd.",L,19970715,
312,000798.SZ,中水渔业,"CNFC OVERSEAS FISHERIES CO.,LTD",L,19980212,
313,000799.SZ,酒鬼酒,"Jiugui Liquor Co., Ltd.",L,19970718,
314,000800.SZ,一汽解放,"FAW Jiefang Group Co., Ltd",L,19970618,
